downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.001,-100,0.0004,0.88889,10.023
16000,0.001,-100,0.0005,0.88889,10.066
16000,0.001,-100,0.0006,0.88889,10.002
16000,0.001,-100,0.0007,0.88889,9.9217
16000,0.001,-100,0.0008,0.88889,9.9698
16000,0.001,-100,0.0009,0.88889,9.8501
16000,0.001,-100,0.001,0.97222,9.9212
16000,0.001,-90,0.0001,0.88889,10.066
16000,0.001,-90,0.0002,0.88889,10.071
16000,0.001,-90,0.0003,0.88889,9.6841
16000,0.001,-90,0.0004,0.88889,9.6166
16000,0.001,-90,0.0005,0.88889,9.6447
16000,0.001,-90,0.0006,0.88889,11.126
16000,0.001,-90,0.0007,0.88889,10.297
16000,0.001,-90,0.0008,0.88889,9.925
16000,0.001,-90,0.0009,0.88889,9.9201
16000,0.001,-90,0.001,0.95111,10.055
16000,0.001,-80,0.0001,0.88889,10.061
16000,0.001,-80,0.0002,0.88889,12.999
16000,0.001,-80,0.0003,0.88889,13.746
16000,0.001,-80,0.0004,0.88889,13.463
16000,0.001,-80,0.0005,0.88889,12.23
16000,0.001,-80,0.0006,0.88889,9.7937
16000,0.001,-80,0.0007,0.88889,9.6508
16000,0.001,-80,0.0008,0.88889,11.155
16000,0.001,-80,0.0009,0.88889,10.4
16000,0.001,-80,0.001,0.90556,9.8891
